full_name	verdict	fit	liftability	integration	capability_tag	unit_class	deployment_class	judgment
QwenAudio/CosyVoice	STUDY	3	3	3	video-audio-codec	library	model_specific	Speech-generation reference reached through the FunAudioLLM alias; documented NVIDIA-serving path is not a small CPU VPS benchmark.
rany2/edge-tts	SKIP	3	5	3	video-audio-codec	library	remote_dependency	Wrapper calls Microsoft's online service and is therefore not local TTS; select a local speech engine rather than hide a remote dependency.
RayVentura/ShortGPT	STUDY	3	3	3	video-audio-codec	app	remote_dependency	Experimental shorts/dubbing pipeline with persistent editing state; study workflow patterns without assuming remote providers, assets or quality are free.
rclone/rclone	ADOPT	5	4	5	file-upload-storage	app	cpu_cli	Transfer and verify client-controlled media/backup files across existing stores; synchronisation alone is not a tested backup/restore policy.
remotion-dev/remotion	STUDY	4	5	4	animation	library	cpu_worker	Strong React-based video/design automation reference; code-authored animation is not the immediate editor handoff, and actual company/derivative licence terms are recorded.
remsky/Kokoro-FastAPI	ADOPT	4	4	4	video-audio-codec	service	optional_cpu_worker	Optional CPU speech endpoint with caption timing and SSML handling; require consent, voice/weight review and narration quality acceptance before replacing paid voice.
resemble-ai/chatterbox	STUDY	4	4	4	video-audio-codec	library	model_specific	Current Nano/Turbo/multilingual voice alternatives; vendor CPU-speed claims need the same client-workload benchmark as Kokoro.
rhasspy/piper	SKIP	3	4	3	video-audio-codec	library	model_specific	Archived repository explicitly redirects development to OHF-Voice/piper1-gpl; retain alias and historic licence instead of calling both current engines.
searxng/searxng	STUDY	4	3	4	search	service	cpu_service	Self-hosted metasearch front end still depends on upstream search services; useful research convenience, not a proprietary trend dataset.
seaweedfs/seaweedfs	ADOPT	5	4	5	file-upload-storage	service	cpu_service	Use the single weed binary's local S3 surface for asset-address compatibility; no distributed cluster is justified for one client box.
simonw/llm	STUDY	4	5	4	llm-app-framework	library	model_specific	Useful model/structured-output experiment harness with local plugins; do not create a second script authority beside the existing product.
socioboard/Socioboard-5.0	STUDY	3	2	3	workflow-orchestration	app	separate_service	Broad social-management reference; platform support claims and the multi-application footprint need verification before a client-box commitment.
SubtitleEdit/subtitleedit	STUDY	4	2	4	video-audio-codec	app	desktop_only	Maintained specialist caption editor with cross-platform builds; retain for human QA rather than recreate its functionality in the first web UI.
suno-ai/bark	STUDY	3	3	3	video-audio-codec	library	model_specific	Expressive generative audio reference; older source and unpredictable non-speech output need stronger editorial controls than the baseline narrator.
SWivid/F5-TTS	STUDY	3	4	3	video-audio-codec	library	model_specific	Speech-generation/alignment alternative; MIT code does not establish the commercial licence of separately fetched weights.
SYSTRAN/faster-whisper	STUDY	5	5	5	video-audio-codec	library	cpu_worker	Strong CPU/GPU CTranslate2 transcription alternative; benchmark rather than transfer upstream speed ratios to the client VPS.
ThioJoe/YT-Spammer-Purge	STUDY	4	3	3	workflow-orchestration	app	cpu_cli	Study explainable comment filtering and owner OAuth; no bulk deletion or account action is authorised by this research pack.
tkarabela/pysubs2	ADOPT	5	5	5	video-audio-codec	library	cpu_library	Portable multi-format subtitle retiming; preserve original files because its ASS-shaped model does not represent every broadcast feature.
tmoroney/auto-subs	STUDY	5	3	5	video-audio-codec	app	desktop_only	Local subtitles connected to Resolve/Premiere/After Effects are an excellent editor-side bridge; optional alignment weights have separate noncommercial terms.
tokland/youtube-upload	SKIP	3	4	4	video-audio-codec	app	cpu_cli	Old uploader still documents revoked bundled credentials and legacy dependencies; README GPL claim lacks a retrieved licence file, so do not invent one.
TryGhost/Ghost	SKIP	2	2	3	workflow-orchestration	app	separate_service	Good publishing/membership base for another segment; avoid rebuilding SUMERA's supplied growth and monetisation shell.
trykimu/videoeditor	STUDY	4	2	4	video-audio-codec	app	cpu_service	Self-hostable browser editor/renderer reference with production Compose instructions; export fidelity and AGPL/commercial feature scope need a pilot.
tubearchivist/tubearchivist	SKIP	2	2	3	video-audio-codec	app	separate_service	Searchable YouTube archive is not a rights-cleared production library; extra archive/search infrastructure does not solve the handoff wedge.
twentyhq/twenty	STUDY	4	2	4	workflow-orchestration	app	separate_service	Custom-object CRM and application interfaces may serve sponsor-heavy teams; avoid a second task/customer authority for the small pilot.
umami-software/umami	SKIP	2	3	2	monitoring-observability	app	cpu_service	First-party website analytics do not ingest private YouTube retention or replace native channel experiments.
videojs/vtt.js	STUDY	4	5	4	video-audio-codec	library	browser_compute	Browser WebVTT parser reference and spec behavior; use for player integration only when the chosen player cannot already handle captions.
w3c/odrl	STUDY	5	1	5	data-serialization	pattern	format_specification	Model permissions, prohibitions and constraints for a rights manifest; a machine-readable policy is not a legal grant or dispute verdict.
w3c/ttml2	STUDY	4	1	5	video-audio-codec	pattern	format_specification	Authoritative timed-text specification source, not a runnable caption app; preserve format semantics in conversion tests.
w3c/webvtt	STUDY	5	1	5	video-audio-codec	pattern	format_specification	Authoritative WebVTT source guides cue/timing validation; count as an examined format repository, not a deployed software service.
walterlow/freecut	STUDY	5	2	4	video-audio-codec	app	browser_compute	Browser-local workspace and plain-file media model are promising; verify supported browsers, project recovery and real editor round trips before adoption.
WebAV-Tech/WebAV	STUDY	4	5	4	video-audio-codec	library	browser_compute	WebCodecs editing SDK with local computation; browser compatibility and Pro-feature boundary matter more than a transplanted speed claim.
worldveil/dejavu	SKIP	2	4	2	video-audio-codec	library	cpu_worker	Old audio fingerprint reference; explicitly not voice recognition and not a substitute for rights clearance.
WyattBlue/auto-editor	STUDY	4	4	4	video-audio-codec	app	cpu_cli	Automated silence/motion first-pass cuts and pace controls; preserve context/handles and let an editor approve the narrative result.
youtube/api-samples	SKIP	2	1	3	client-sdk-generic	pattern	format_specification	Archived 2018 samples lack a retrieved licence file; current official API documentation and maintained SDKs are the authority.
yt-dlp/yt-dlp	STUDY	4	4	4	web-scraping	app	cpu_cli	Maintained media acquisition tool for owned or explicitly authorised inputs; downloaded content is not automatically reusable or monetisable.
zammad/zammad	STUDY	3	2	3	email	app	separate_service	Broad support-desk alternative; a heavier support workflow is not yet demonstrated for this producer-owner.
zhouxiaoka/autoclip	STUDY	5	3	4	video-audio-codec	app	model_specific	Strong current local-provider/CLI clipping lead; compare actual accepted clips and full dependency/resource cost, not generated-candidate volume.
Zulko/moviepy	STUDY	4	5	4	video-audio-codec	library	cpu_worker	Accessible Python composition with v2 migration considerations; native FFmpeg is the narrower baseline when extra array/image transfers are unnecessary.
