id	stage	class	fit	integration	verdict	purpose	downside
73	W04	library	2	3	SKIP	Older schema.org recipe parser	2023 snapshot; broader recipe-scrapers is the comparison candidate
74	W03 W08	spec	4	3	STUDY	EPCIS event and interchange reference	Repository says draft artifacts; verify released standard separately, not automatic food-safety compliance
75	W03	library	4	4	STUDY	GS1 barcode-to-Digital-Link translation	Supplier barcode data must actually contain relevant identifiers
76	W03	library	3	3	STUDY	Digital Link object and validation library	2023 snapshot; compare supported standard version before choosing alongside toolkit
77	W03	service	2	2	SKIP	Digital Link resolver community edition	README disclaims GS1 maintenance and full conformance; resolver unnecessary for the first pilot
78	W03 W08	service	3	3	STUDY	Container-friendly EPCIS event repository	Additional service cost unjustified until suppliers provide EPCIS events
79	W03 W08	service	2	2	SKIP	Legacy EPCIS 1.2 .NET repository	README points to newer EF Core repository; avoid obsolete implementation
80	W03 W08	service	2	2	SKIP	Historical EPCIS repository	2018 snapshot; historic certification does not validate current deployment or requirements
81	W08	hardware	4	3	STUDY	Fridge-probe logging and temperature report workflow	Needs premises hardware, calibration and outage handling; not every HACCP control
82	W08	mobile	3	2	STUDY	Native iOS kitchen HACCP documentation reference	Not a VPS service; legal compliance is an upstream claim and licence was not retrieved
83	W08	app	3	2	STUDY	Restaurant and hotel HACCP workflow reference	2024 snapshot; deployment-secret handling and authorisation need audit
84	W08	app	3	3	STUDY	Simple fridge temperature-entry MVP	SQLite MVP does not prove tamper evidence, corrective actions or inspector acceptance
85	W08	app	1	1	SKIP	Digital SFBB discovery lead	README and licence missing from audit; insufficient evidence for a product recommendation
86	W08	app	1	1	SKIP	Historical HACCP builder lead	2015 last commit and no meaningful retrieved README; not a credible production base
87	W04 W08	dataset	4	4	STUDY	Multilingual allergen/disclosure labels	Labels do not infer cross-contact or validate ingredients; legal content requires current local review
88	W04 W08	dataset	1	1	SKIP	Food-labelling research dataset	Research audit is not an operational menu declaration or commercial food-safety system
89	W08	hardware	2	2	STEAL	MQTT temperature telemetry pattern	2019 embedded example; calibration and alert acknowledgement are missing operational work
90	W08	hardware	2	2	STUDY	Rust embedded temperature logger example	Hardware and external telemetry assumptions; not a VPS-only full safety system
91	W07	app	2	2	STUDY	Referral and affiliate-program reference	Referral attribution differs from restaurant visits, partial refunds and loyalty balances
92	W07	app	4	3	STUDY	Restaurant loyalty and checkout protocol challenger	Recent activity is not merchant adoption; reversal and replay behaviour need independent tests
93	W07	app	2	2	SKIP	Historical Open Loyalty fork	2017 snapshot and bespoke licence; not current canonical product evidence
94	W07	framework	2	2	SKIP	Historical loyalty framework	2017 source and no retrieved licence; too much custom operational assembly
95	W07	mobile	1	1	SKIP	Consumer loyalty-card wallet	Stores cards for shoppers, not merchant balances, accrual rules or refunds
96	W07	plugin	3	3	STUDY	WooCommerce points and rewards alternative	Only compelling for a WooCommerce host; do not add a second commerce stack for loyalty
97	W09	library	5	4	ADOPT	Local invoice extraction into reviewable structured drafts	Supplier templates, credit notes, pack units and line-item validation remain ours; no automatic posting
98	W09	app	3	3	STUDY	Self-hosted sales invoicing alternative	Default 3.x is alpha; outgoing invoices do not solve supplier receiving discrepancies
99	W09	app	3	3	STUDY	Client and sales-invoice management	Not the purchasing or statutory general-ledger authority; bundled licences need component review
100	W09	app	3	3	STUDY	Quoting, invoicing and time-tracking reference	Sales invoicing is outside the first wedge; ELv2 managed-service restrictions need review
101	W09	library	3	3	STUDY	Factur-X and ZUGFeRD electronic invoice parsing and validation	Only useful when a real supplier sends these formats; not universal UK invoice coverage
102	W09	library	3	3	STUDY	PHP ZUGFeRD and Factur-X integration alternative	Do not duplicate Java and PHP parsers without supplier-format demand
103	W09 W10	library	4	4	STUDY	Streaming structured import for CSV, XML and EDI	Generic parser does not know delivery payout or supplier reconciliation semantics
104	W09	library	4	4	STUDY	Streaming EDI reader, writer and validation	Obtain each supplier's agreed message profile; syntactic validation is not business acceptance
105	W09	library	3	3	STUDY	Java SAX-style EDI parser alternative	Different parsing API and licence; no measured benefit over selected-format alternatives
106	W09	library	3	3	STUDY	JavaScript EDIFACT streaming parser	2020 activity and profile coverage need review before reuse
107	W09	template	2	2	SKIP	Historical cXML PunchOut test client	Partial test client, not procurement application; 2015 snapshot and missing licence retrieval
108	W09	library	4	4	STUDY	Small Go cXML parser and builder	New small project; validate against actual supplier samples and schema versions
109	W09	template	2	2	STEAL	PunchOut session and handoff pattern	Demonstrator with missing licence retrieval; not a complete supplier integration
110	W09	template	2	2	STUDY	EDIFACT examples for a commercial SDK	Examples do not include a freely self-hostable full SDK; separate commercial dependency
111	W10	library	4	4	STUDY	Official Python Xero API boundary	SDK stays local but ledger service and authorisation remain external; start with reviewed exports
112	W10	library	4	4	STUDY	Official Node Xero API alternative	Choose one adapter language; no independent reason to add a second connector
113	W10	library	3	3	STUDY	Python OFX statement parser	2021 last commit; bank export compatibility and duplicates require fixtures
114	W10	library	3	3	STUDY	Go OFX parser alternative	Bank format and identifier coverage must be tested; no payout-matching semantics included
115	W10	library	2	3	SKIP	Older PHP OFX parser	2020 snapshot; not preferred over current-language alternatives
116	W10	app	2	2	SKIP	Personal finance manager	Personal budget software is not a restaurant's accountant-controlled ledger
117	W10	desktop	3	3	STUDY	Desktop accounting reference	Not the VPS server topology and no verified UK statutory payroll/tax fit
118	W10	app	3	3	STUDY	Modular accounting alternative	Business Source Licence conditions need recording; do not silently replace accountant systems
119	W10	library	3	3	STUDY	Plain-text double-entry reconciliation reference	CLI is not a restaurant-user workflow or accepted accounting handoff
120	W05 W10	library	3	3	STUDY	HubRise API client	Client library is self-hostable, HubRise network is an external service dependency
121	W06	template	3	3	STEAL	Order-to-local-print bridge example	Depends on HubRise; example is not acknowledged durable kitchen delivery
122	W05 W10	library	4	3	STUDY	Deliveroo partner API client	Requires authorised partner credentials; no proven payout/refund settlement workflow
123	W05	library	1	1	SKIP	Old Deliveroo consumer API wrapper	Consumer/private endpoints and 2020 activity are not an approved merchant integration
124	W10	template	1	1	SKIP	Delivery-billing reconciliation discovery lead	No usable retrieved README or licence; name alone is not reconciliation evidence
125	W07	template	4	3	STUDY	Official tokenised web-payment integration example	Payment processing remains external; example is not a complete restaurant refunds ledger
126	W07	library	1	1	SKIP	Retired Square Connect Java SDK	README explicitly says end of life on 17 December 2019
127	W06	library	4	4	STUDY	PHP ESC/POS printer driver alternative	Requires local printer connectivity and model-specific tests; VPS cannot reach a disconnected LAN
128	W06	library	4	4	STUDY	Python ESC/POS printer driver alternative	Do not expose printer ports publicly; acknowledgement and duplicate-print handling need a local bridge
129	W06	library	4	4	STUDY	Receipt description and rendering interchange	Receipt layout is not tax correctness or exactly-once kitchen printing
130	W06	service	3	3	STUDY	Browser-to-local-device printing bridge	Requires a local installed agent and certificate/signing review, not only a VPS
131	cross	reference	3	1	STUDY	Discovery index for self-hosted alternatives	List membership is neither direct source audit nor deployment acceptance
